source,source_detail,text,rating,date,url,themes,mode
play_store,com.myntra.android,it's a good app for online shopping,4,2026-08-19,,,rules
play_store,com.myntra.android,"1-star experience. I contacted Myntra customer support TWICE about the same issue. The belt I wanted repeatedly showed as non-deliverable to my PIN code in the morning, then suddenly became deliverable in the evening—only for it to go out of stock. I had also previously ordered a belt that took so long to arrive that I had to cancel it, yet Myntra blamed the cancellation on me. Even now, the same belt is showing as deliverable again. Extremely frustrating and poor service.",1,2026-08-19,,stock_size_unavailability,rules
play_store,com.myntra.android,this platform good for fashion.i recently ordered bootcut cut jeans pant by roadster brand. so it delivered within 4days .there is a fastest delivery and interface is also good and convenient.mainly customer support is good they respond within 24 hours,5,2026-08-19,,,rules
play_store,com.myntra.android,this application has very very good app product is original and good quality service is very fast,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,good app with best quality,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,verry nice and trusted app and fast delivery I love it Myntra service and product quality are also so good appreciate it ♥️,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,true app for shopping,5,2026-08-19,,,rules
play_store,com.myntra.android,very very worst,1,2026-08-19,,,rules
play_store,com.myntra.android,affordable price and very nice kajal,5,2026-08-19,,,rules
play_store,com.myntra.android,good and the cloth quality was excellent,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,amazing it save my lots of money....💝i love it,5,2026-08-19,,,rules
play_store,com.myntra.android,"It is a great shopping app with a wide variety of cloth footwear , and accessories .... The app is easy to use and the product are usually of good quality I am with my shopping experience on Myntra",5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,This app is very nice and easy to shop and has easy returns.,5,2026-08-19,,,rules
play_store,com.myntra.android,good customer service and products,5,2026-08-19,,,rules
play_store,com.myntra.android,"The products are excellent.Love the quality,trends going on",5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,worst shopping app.,1,2026-08-19,,,rules
play_store,com.myntra.android,good app and items,5,2026-08-19,,,rules
play_store,com.myntra.android,very nice aap and all the products in this app is so good,5,2026-08-19,,,rules
play_store,com.myntra.android,"i loved the experience, reasonable price and great quality.also the delivery is also very fast",5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,excellent options and user experience,5,2026-08-19,,,rules
play_store,com.myntra.android,"one of the worst online shopping apps I have ever seen. i ordered something on this aap everything was going right before, I was waiting 4 to 5 days and suddenly one day before the delivery date my order got cancelled.",1,2026-08-19,,,rules
play_store,com.myntra.android,fraud Myntra replacing order issue and fraud labelling myntra hot replacement order wrong labelling Myntra helpline is not helpful,1,2026-08-19,,delivery_return_fear,rules
play_store,com.myntra.android,The prices are expensive but the quality is great and I would love to shop here,4,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,best for online shopping,5,2026-08-19,,,rules
play_store,com.myntra.android,"trending clothes options, best app ever to buy clothes because clothes describe your value,",5,2026-08-19,,,rules
play_store,com.myntra.android,"when we return the order if we are disappointed, whole amount is not refunded. wheras they split some amount in my encash which we did not receive. It is really disappointing due to which I am discontinuing this application for shopping.",1,2026-08-19,,,rules
